fold_id,n_clusters,k_neighbors,accuracy_fold
0,3,1,0.34
0,3,3,0.38
0,3,5,0.38
1,3,1,0.32
1,3,3,0.35
1,3,5,0.35
2,3,1,0.36
2,3,3,0.37
2,3,5,0.36
3,3,1,0.36
3,3,3,0.41
3,3,5,0.41
4,3,1,0.33
4,3,3,0.35
4,3,5,0.35
5,3,1,0.29
5,3,3,0.3
5,3,5,0.31
6,3,1,0.3
6,3,3,0.31
6,3,5,0.31
7,3,1,0.34
7,3,3,0.36
7,3,5,0.33
8,3,1,0.43
8,3,3,0.44
8,3,5,0.44
9,3,1,0.35
9,3,3,0.37
9,3,5,0.37
0,5,1,0.45
0,5,3,0.45
0,5,5,0.43
1,5,1,0.57
1,5,3,0.54
1,5,5,0.52
2,5,1,0.57
2,5,3,0.63
2,5,5,0.6
3,5,1,0.57
3,5,3,0.6
3,5,5,0.62
4,5,1,0.51
4,5,3,0.59
4,5,5,0.58
5,5,1,0.58
5,5,3,0.59
5,5,5,0.59
6,5,1,0.51
6,5,3,0.54
6,5,5,0.52
7,5,1,0.57
7,5,3,0.56
7,5,5,0.56
8,5,1,0.62
8,5,3,0.62
8,5,5,0.61
9,5,1,0.58
9,5,3,0.56
9,5,5,0.61
0,7,1,0.51
0,7,3,0.48
0,7,5,0.48
1,7,1,0.56
1,7,3,0.59
1,7,5,0.53
2,7,1,0.65
2,7,3,0.63
2,7,5,0.61
3,7,1,0.56
3,7,3,0.57
3,7,5,0.58
4,7,1,0.59
4,7,3,0.57
4,7,5,0.56
5,7,1,0.64
5,7,3,0.64
5,7,5,0.64
6,7,1,0.65
6,7,3,0.65
6,7,5,0.6
7,7,1,0.56
7,7,3,0.56
7,7,5,0.55
8,7,1,0.63
8,7,3,0.64
8,7,5,0.69
9,7,1,0.61
9,7,3,0.61
9,7,5,0.63
